x,y
8,49
24,30
3,48
39,47
23,39
15,45
48,38
10,44
30,18
34,0
2,34
34,10
14,17
34,8
49,13
48,42
24,30
15,17
36,4
43,40
16,27
9,27
29,19
22,14
2,0
27,13
44,12
4,42
31,3
1,6
13,3
19,20
36,15
4,10
27,23
3,47
7,3
49,41
47,48
1,43
14,36
7,5
16,7
2,38
41,22
30,30
19,34
34,42
27,20
46,31
90,62
85,58
95,85
52,84
73,43
98,68
78,71
82,60
62,50
40,48
98,65
95,48
74,70
59,52
93,93
44,58
90,69
44,95
75,68
63,84
49,93
88,97
88,40
61,49
65,80
94,94
46,68
77,42
78,56
98,45
92,91
98,66
79,74
83,43
70,70
91,54
70,94
97,53
42,60
91,41
64,54
95,91
57,73
85,60
77,80
65,64
85,69
75,98
56,68
52,58
